,Smiles
0,ClC1(=C(Cl)C=CC=C1OCC(=O)O)
1,O=C(O)C1(=CC(OC)=CC(=C1)OC)
2,O=[N+]([O-])C1(=CC=C(C(=O)NCCC(=O)O)C=C1)
3,S2(C1(=NC=C(C(=O)O)C(N1C=C2)=O))
4,O=C(O)CCCC
5,O=C(O)C1(=C(OC)C(OC)=C(OC)C=C1)
6,O=C(O)C=1(OC=2(C=C(C)C=CC=2(C=1C)))
7,O=C(O)CCC(=O)C1(=CC=C(OCC)C=C1)
8,O=C(O)C2(=CC1(=C(OC=C1)C=C2))
9,OC(=O)C2(=C1(C(=O)NNC1=NC(=C2)C3(=CC=CC=C3)))
10,OC(=O)COC2(=CC1(=C(NC(=O)CC1)C=C2))
11,FC1(=C(F)C=C(CC(=O)O)C=C1F)
12,O=C(O)C2(=CC1(=NC(=C(C)N=C1C=C2)C))
13,O=C(O)CC1(=C(OC)C(OC)=CC=C1)
14,OC(=O)CN1(C(=O)NC=2(C=CC=CC=2(C1=O)))
15,ClC1(=CC=C(C(=O)O)C=C1)
16,OC(=O)C2(=CC(NC(=O)C1(CCCC1))=CC=C2)
17,OC(=O)C2(=CC(N1(C(=O)NCCC1))=CC=C2)
18,S2(C1(=C(C=CC=C1)C(=C2)CC(=O)O))
19,CC(C)(C)OC(n1c(ccc(C(O)=O)c2)c2nc1)=O
20,OC(=O)C2(=NC=1(N=C(O)NC(C=1C(=C2)C)=O))
21,O=C(O)CCC(=O)C1(=C(OC)C=CC(=C1)OC)
22,OC(=O)C1(C2(=C(NC(C1)=O)C=CC=C2))
23,OC(=O)CNC1(=CC=C(C(=O)N)C=C1)
24,OC(=O)C1(=CN=C(C(=O)N)C=C1)
25,OC(=O)C1(=C4(C(=NC(=C1)C3(=CC=2(OCOC=2C=C3)))N(C(=O)NC4=O)C))
26,OC(=O)C1(=CC(=CC=C1)COC2(=C(C(=O)N)C=CC=C2))
27,[Br]C1(=C(C=C(OC)C(=C1)OC)CC(=O)O)
28,O=C(O)CCC1(=C(OC)C=C(OC)C=C1)
29,O=C(O)CC1(=C(OC)C=CC(=C1)OC)
30,OC(=O)C=1(C(=O)NC=2(CCCC(C=2(C=1))=O))
31,O=C2(OC1(=C(C(OCC(=O)O)=CC(=C1)C)C3(=C2CCC3)))
32,ClC1(=C(C=CC(=C1)Cl)CC(=O)O)
33,O=C(O)CC1(=CC=C(C)C=C1)
34,OC(=O)C=1(NC(=O)NC=1)
35,O=C(O)CCOCC
36,ClC1(=CC(C(=O)O)=CC=C1)
37,OC(=O)C2(=CC=1(NC(=O)C(=O)N(C=1C=C2)CC))
38,S2(C(C=1(OC(CCC(=O)O)=CC=1))=CC=C2)
39,OC(=O)C1(=CN=C2(N(C(=O)NC(C2(=C1))=O)C))
40,O=C(O)CO
41,O=C(O)C2(=C(C1(=CC=CC=C1))C=CC=C2)
42,O=C(O)C1(=CC=C(C(=O)C)C=C1)
43,S2(C=1(N=C(NC(C=1C3(=C2CC(CC)CC3))=O)C4(=CC=C(C(O)=O)C=C4)))
44,O=C(O)C=1(NN=C(C=1)C2(=C(O)C=CC=C2))
45,CC(C)(C)OC(n1c(ccc(OC)c2)c2c(CC(O)=O)c1C)=O
46,O=C(O)C2(=CC(NC(=O)C1(OCCC1))=C(C)C=C2)
47,O=C(O)CCN2(C1(=C(C=CC=C1)N=C2C))
48,OC(=O)C=1(C(=O)NC(=O)N(C=1)C)
49,S(=O)(=O)(N)C=1(C=NN(C=1)CCC(O)=O)
50,O=C(O)CC2(=CC=1(C(=CC=CC=1)C=C2))
51,O=C(O)CCOC1(=CC=C(CO)C=C1)
52,S(=O)(=O)(C1(=CC=C(C(=O)O)C=C1))C
53,O=C(O)C2(=CC=C(CN1(N=NN=C1))C=C2)
54,OC(=O)C1(CN(C(=O)N)CCC1)
55,O=C2(N(C=1(N=C(CCC(=O)O)N(C=1C(N2)=O)CC(C)C))CCCC)
56,O=C(O)C1(=C(OCC)N=CC=C1)
57,OC(=O)C1(=NC=C2(N=CNC(C2(=C1))=O))
58,ClC1(=CC=C(OCC(=O)O)C=C1)
59,OC(=O)C1(=COC(=C1)C(=O)N)
60,O=C(O)CCC1(=CC(OC)=C(OC)C(=C1)OC)
61,OC(=O)C1(=CC(NC(=O)C)=CC(=C1)NC(=O)C)
62,O=C(NCC(=O)O)C=1(OC=CC=1)
63,O=[N+]([O-])C2(=CC=C(C(=O)N1(CCC(C(=O)O)CC1))C=C2)
64,O=C(O)C=2(OC(C#CC1(=CC=CC=C1))=CC=2)
65,O=C(O)CC=CC1(=CC=CC=C1)
66,O=C(O)C1(=CN=C(C)C=C1)
67,OC(=O)CN1(NC=2(C=CC=CC=2(C1=O)))
68,OC(=O)COCC2(=NC1(=C(C=CC=C1)C(N2)=O))
69,O=C(NCC(=O)O)C1(=CC=CC=C1)
70,O=C(O)CN2(C1(=C(C=CC=C1)N=C2C))
71,OC(=O)CC1(NC(=O)NC1=O)
72,OC(=O)C2(=CC=1(N=CNC(C=1C=C2)=O))
73,O=C(O)CC1(=CC(OC)=C(OC)C(=C1)OC)
74,O=C(O)CC1(C2(CC(C1)CC2))
75,CC(C)(C)OC(n1c(cccc2)c2c(CC(O)=O)c1)=O
76,O=C(O)CCC=1(ON=C(N=1)C=2(OC=CC=2))
77,OC(=O)C1(=NNC(=O)C=C1)
78,OC(=O)CCC1(=NC=2(N(C(=O)NC(C=2(N1))=O)C))
79,FC2(=CC=C(C(=O)N1(CCC(C(=O)O)CC1))C=C2)
80,S(=O)(=O)(N1(CCC(C(O)=O)CC1))C2(=CN(C)C(=C2)C(=O)N)
81,OC(=O)C1(=NC(=C(C)NC1=O)C)
82,OC(=O)CCCC2(=NC1(=C(C=CC=C1)C(N2)=O))
83,OC(=O)C1(=C3(C(=NC(=C1)C2(=CC=CC=C2))N(C(=O)NC3=O)C))
84,S1(C(C(=O)O)=CC=C1)
85,S1(C(C(O)=O)=CC=C1C(=O)N)
86,O=C(O)CCC1(=CN=CC=C1)
87,ClC1(=C(OC)C=CC(=C1)CCC(=O)O)
88,O=C(O)CC1(=CC(OC)=C(OC)C=C1)
89,O=C(O)C2(=NC=1(C(=CC=CC=1)C(=C2)OC))
90,O=C(O)C1(=COC=C1)
91,O=C(O)CC1(=CC(OC)=C(O)C=C1)
92,O=C(O)COC2(=CC=1(C(=CC=CC=1)C=C2))
93,S1(C(=C(C)N=C1C(C)C)C(=O)O)
94,[Br]C1(=CN=C(C(=O)O)C=C1)
95,O=C(O)CC1(=CC(OC)=C(OCC)C=C1)
96,O=C(O)CC1(=C(C=CC=C1)C)
97,O=C(O)CN1(N=C(C)C(=C1C)C(=O)C)
98,ClC1(=C(OCC(=O)O)C=C2(OC(=O)C=C(C2(=C1))CC))
99,OC(=O)C2(=CC=1(NC(=O)N(CC)C(C=1C=C2)=O))
100,O=C(O)CCC=1(ON=C(N=1)C2(=C(C=CC=C2)C))
101,O=C2(C1(=C(C=CC=C1)C(C2)C(=O)O))
102,O=C1(N(C(=O)C2(N(CC(=O)O)C=NC2(N1C)))C)
103,O=C(O)CC2(=CC=C(OC1(=CC=CC=C1))C=C2)
104,OC(=O)C=2(C1(=NC(=O)C=3(C=CC=CC=3(N1NC=2))))
105,O=C(O)CCC1(=CC=C(C(C)C)C=C1)
106,S(=O)(=O)(N1(CCC(C(O)=O)CC1))C2(=CC=C(C(=O)N)C=C2)
107,O=C(O)C2(=CC=C(OC1(=CC=CC=C1))C=C2)
108,O=C(O)CC1(=CC=C(OCC)C=C1)
109,ClC1(=C(C=CC(=C1)F)CC(=O)O)
110,O=C2(OC1(=C(C=CC(=C1)OCC(=O)O)C3(=C2CCCC3)))
111,OC(=O)C=1(NC(=O)C=CC=1)
112,S(=O)(=O)(N(C)C)C=1(OC(C)=C(C=1)C(=O)O)
