Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,IC50
CHEMBL4169012,,485.49,0,3.63,39,N#Cc1ccccc1N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)cc(F)c2F)CC1,0.02
CHEMBL5173467,,634.53,3,4.32,8; Fr.8,O=c1c(O)c(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(OS(=O)(=O)O)cc5)oc34)c2)oc2cc(O)cc(O)c12,0.0804
CHEMBL4161087,,474.51,0,4.06,40,Cc1ccc(N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)cc(F)c3F)CC2)cc1,0.1
CHEMBL4170665,,461.47,0,3.15,45,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccccn2)CC1,0.1
CHEMBL5193533,,634.53,3,4.32,9; Fr. 9,O=c1c(O)c(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(OS(=O)(=O)O)cc(O)c12,0.1158
CHEMBL63354,AMENTOFLAVONE,538.46,3,5.13,7; AMF,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,0.1398
CHEMBL4845834,,482.52,0,3.49,I-6,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(c2nc3ccccc3[nH]2)CC1,0.19
CHEMBL4159834,,467.5,0,3.21,53,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2nccs2)CC1,0.2
CHEMBL3933136,,346.79,0,3.63,BDBM240715,Cc1cc(-c2[nH]c(=O)c3cc(F)ccc3c2OCCN)ccc1Cl,0.2
CHEMBL63354,AMENTOFLAVONE,538.46,3,5.13,AMF,O=c1cc(-c2ccc(O)c(-c3c(O)cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc(O)cc(O)c12,0.2
CHEMBL4867855,,525.54,1,3.04,I-1,NC(=O)c1cncc2[nH]c(C3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)nc12,0.23
CHEMBL5176874,,634.67,1,4.9,I-9,COc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)cc2)cc1,0.25
CHEMBL5176874,,634.67,1,4.9,25,COc1ccc(NC(=O)c2ccc(NC(=O)N3CCN(C(=O)c4cc(Cc5n[nH]c(=O)c6ccccc56)ccc4F)CC3)cc2)cc1,0.25
CHEMBL2322618,,468.49,0,3.14,26,O=C1NCC2c3c(cccc31)CCN2C(=O)c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F,0.31
CHEMBL5095220,AZD-5305,406.49,0,1.56,25,CCc1cc2ncc(CN3CCN(c4ccc(C(=O)NC)nc4)CC3)cc2[nH]c1=O,0.31
CHEMBL5180001,,432.53,0,1.81,8d,CCc1cc2ncc(CN3CC4CN(c5ccc(C(=O)NC)nc5)CC4C3)cc2[nH]c1=O,0.34
CHEMBL4169337,,478.47,0,3.89,30,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc(F)cc2)CC1,0.4
CHEMBL4800042,,423.49,0,2.1,13,NC(=O)c1ccc(N2CCN(CCCc3cc4c(N)cc(F)cc4c(=O)[nH]3)CC2)cc1,0.4
CHEMBL5206717,,402.5,0,2.8,8c,CCc1cc2ncc(CN3CCc4cc(/C=C/C(=O)NC)ccc4C3)cc2[nH]c1=O,0.4
CHEMBL4171279,,505.48,1,3.66,34,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)cc(F)c1F)N1CCN(c2ccc([N+](=O)[O-])cc2)CC1,0.4
CHEMBL4870329,,487.92,0,4.31,II-3,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCn2c(nc3ccc(Cl)cc32)C1,0.4
CHEMBL5176160,,389.46,0,2.08,7f,CCc1cc2ncc(CN3CCN(c4ccc5cn[nH]c5n4)CC3)cc2[nH]c1=O,0.41
