DEL_ID,DEL_Smiles,Class
CHEMBL521686,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,Hit
CHEMBL3984980,CC1(C)CC2=NNC(=O)c3cccc4c3c2c(n4CCN2CCCCC2)C1,Hit
CHEMBL3137320,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,Hit
CHEMBL3907010,CC1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(C(F)(F)F)n21,Hit
CHEMBL3933450,O=C1NN=C2CN(C(=O)OCc3ccccc3)Cc3[nH]c4cc(F)cc1c4c32,Hit
CHEMBL3975917,CN(C)CCn1c2c3c4c(cccc41)C(=O)NN=C3CC(C)(C)C2,Hit
CHEMBL3929889,CN(C)CCn1c2c3c4c(cc(F)cc41)C(=O)NN=C3CC(C)(C)C2,Hit
CHEMBL3926240,CCN(CC)CCn1c2c3c4c(cccc41)C(=O)NN=C3CC(C)(C)C2,Hit
CHEMBL3922789,O=C1NN=C2CN(C(=O)C3CC3)Cc3[nH]c4cccc1c4c32,Hit
CHEMBL5182405,O=C(COc1ccc2c(c1)CCCN2C(=O)CCl)NCCCCCCCCCC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,Hit
CHEMBL4107982,C[C@]12CCCN1CC1=NNC(=O)c3cccc4[nH]c2c1c34,Hit
CHEMBL1173055,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,Hit
CHEMBL3901232,CC(C)(C)OC(=O)N1CCC2=C(C1)Nc1cccc3c(=O)[nH]nc2c13,Hit
CHEMBL4112930,C[C@]12CCCN1CC1=NNC(=O)c3cc(F)cc4[nH]c2c1c34,Hit
CHEMBL3955609,O=C1NN=C2CN(C(=O)OCc3ccccc3)Cc3[nH]c4cccc1c4c32,Hit
CHEMBL3972156,CC1(C)CC2=NNC(=O)c3cccc4[nH]c(c2c34)C1,Hit
CHEMBL5080271,CC(C)C(=O)N1CCN(C(=O)c2cc(Cn3c(=O)[nH]c(=O)c4ccccc43)ccc2F)C[C@H]1C,Hit
CHEMBL4529965,NC(=O)c1cccc2c1O/C(=C\c1ccc(C(=O)NCCc3nc4c(C(N)=O)cccc4[nH]3)cc1)C2=O,Hit
CHEMBL3914932,CC1(C)CCc2[nH]c3cc(F)cc4c3c2C1=NNC4=O,Hit
CHEMBL3962648,O=C1NN=C2CCCCc3[nH]c4cc(F)cc1c4c32,Hit
