Molecule ChEMBL ID,Molecule Name,Molecular Weight,#RO5 Violations,AlogP,Smiles,IC50
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.1
CHEMBL3984980,,364.49,0,3.55,CC1(C)CC2=NNC(=O)c3cccc4c3c2c(n4CCN2CCCCC2)C1,0.2
CHEMBL3984980,,364.49,0,3.55,CC1(C)CC2=NNC(=O)c3cccc4c3c2c(n4CCN2CCCCC2)C1,0.2
CHEMBL3137320,TALAZOPARIB,380.36,0,2.63,Cn1ncnc1[C@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@@H]1c1ccc(F)cc1,0.2
CHEMBL3907010,,486.43,0,3.48,CC1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(C(F)(F)F)n21,0.22
CHEMBL3907010,,486.43,0,3.48,CC1CN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)Cc2nnc(C(F)(F)F)n21,0.22
CHEMBL3933450,,378.36,0,2.91,O=C1NN=C2CN(C(=O)OCc3ccccc3)Cc3[nH]c4cc(F)cc1c4c32,0.3
CHEMBL3975917,,324.43,0,2.62,CN(C)CCn1c2c3c4c(cccc41)C(=O)NN=C3CC(C)(C)C2,0.3
CHEMBL3929889,,342.42,0,2.76,CN(C)CCn1c2c3c4c(cc(F)cc41)C(=O)NN=C3CC(C)(C)C2,0.3
CHEMBL3926240,,352.48,0,3.4,CCN(CC)CCn1c2c3c4c(cccc41)C(=O)NN=C3CC(C)(C)C2,0.3
CHEMBL3922789,,294.31,0,1.37,O=C1NN=C2CN(C(=O)C3CC3)Cc3[nH]c4cccc1c4c32,0.3
CHEMBL3926240,,352.48,0,3.4,CCN(CC)CCn1c2c3c4c(cccc41)C(=O)NN=C3CC(C)(C)C2,0.3
CHEMBL5182405,,801.36,2,5.77,O=C(COc1ccc2c(c1)CCCN2C(=O)CCl)NCCCCCCCCCC(=O)N1CCN(C(=O)c2cc(Cc3n[nH]c(=O)c4ccccc34)ccc2F)CC1,0.32
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.3981
CHEMBL4107982,,280.33,0,1.94,C[C@]12CCCN1CC1=NNC(=O)c3cccc4[nH]c2c1c34,0.4
CHEMBL521686,OLAPARIB,434.47,0,2.35,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,0.4
CHEMBL1173055,RUCAPARIB,323.37,0,2.98,CNCc1ccc(-c2[nH]c3cc(F)cc4c3c2CCNC4=O)cc1,0.4
