,id,smiles
26700,A073_B133,Cc1ccc(CCC(N[C@@H](CNC(c(cc2)ccc2C(NC2CC2)=O)=O)C(NC)=O)=O)cc1
18822,A052_B004,CCN(c(ccc(C(NC[C@@H](C(NC)=O)NC(CCC(C)C)=O)=O)c1)c1NC1=O)C1=O
12263,A034_B087,CNC([C@H](CNC(CCN(C=CNC1=O)C1=O)=O)NC(Cc(cccc1)c1Cl)=O)=O
15457,A042_B329,Cc1c(CCC(NC[C@@H](C(NC)=O)NC(CCN2CCCCC2)=O)=O)c(C)nc2c(C(N)=O)ncn12
50108,A136_B294,CNC([C@H](CNC(c(cc1)ccc1N(CCN1)C1=O)=O)NC(c1cncnc1)=O)=O
13417,A037_B134,CNC([C@H](CNC(c1cccc(N(CCCN2)C2=O)c1)=O)NC(CCc(cccc1)c1OC)=O)=O
31546,A086_B182,Cc1cc(NC(C2C(N[C@@H](CNC(COc3ccc(CC(N)=O)cc3)=O)C(NC)=O)=O)=O)c2cc1
47258,A129_B027,Cc(cc1)ccc1S(NCC(N[C@@H](CNC(CN(CCCN1)C1=O)=O)C(NC)=O)=O)(=O)=O
46984,A128_B122,Cc1c(CC(N[C@@H](CNC(c(o2)ccc2S(N)(=O)=O)=O)C(NC)=O)=O)c(cccc2)c2[nH]1
58088,A158_B156,Cc1nn(C=C(C(NC[C@@H](C(NC)=O)NC(COc(cc2)ccc2F)=O)=O)C(N2)=O)c2c1
9626,A027_B033,CC(N=C(N1)N2CCCC2)=C(CC(NC[C@@H](C(NC)=O)NC(Cc(cc2)ccc2N(C)C)=O)=O)C1=O
22877,A062_B369,CNC([C@H](CNC(COc(cc1)cc(CC2)c1NC2=O)=O)NC(c(cc1)ccc1OCc1ccccc1)=O)=O
57625,A157_B062,CCC(CC1)Cc2c1c(C(NC(c(cc1)ccc1C(NC[C@@H](C(NC)=O)NC(Cc(ccc(OC)c1)c1F)=O)=O)=N1)=O)c1s2
21030,A057_B367,CC(N=C(N1)N(CC2)CCC2C(NC[C@@H](C(NC)=O)NC(c(cccc2)c2I)=O)=O)=CC1=O
1808,A005_B333,CNC([C@H](CNC(CCC(C(N1)=O)NC1=O)=O)NC(c(cc1)ccc1I)=O)=O
16933,A046_B329,CNC([C@H](CNC(c(cc1)cc(N2)c1NCC2=O)=O)NC(CCN1CCCCC1)=O)=O
44062,A120_B152,CNC([C@H](CNC(c1c(C(NC(N2C)=O)=O)c2nc(C2CC2)c1)=O)NC(CCC(c(cc1)ccc1OC)=O)=O)=O
53973,A147_B100,CNC([C@H](CNC(c1coc(C(N)=O)c1)=O)NC(Cc(cc1)ccc1S(C)(=O)=O)=O)=O
41315,A112_B357,CNC([C@H](CNC(c(cc1)ccc1NS(c(cc1)cc(N2)c1NC2=O)(=O)=O)=O)NC(c(cc1)cc(CC2)c1NC2=O)=O)=O
40973,A112_B015,CNC([C@H](CNC(c(cc1)ccc1NS(c(cc1)cc(N2)c1NC2=O)(=O)=O)=O)NC(CCC=C)=O)=O
2161,A006_B317,CNC([C@H](CNC(CCN(C=CC(N1)=O)C1=O)=O)NC(c1ccccc1)=O)=O
28624,A078_B212,CNC([C@H](CNC(C(c1c2cccc1)=CNC2=O)=O)NC(c(cc1)cc2c1OCCO2)=O)=O
47959,A130_B359,CNC([C@H](CNC(c1c(C(NN2C)=O)c2nc(C2CC2)c1)=O)NC(CC1Nc(cccc2)c2NC1=O)=O)=O
41860,A114_B164,CNC([C@H](CNC(C(CC1)CCN1C(N)=O)=O)NC(CCc1cccc(Cl)c1)=O)=O
44084,A120_B174,CNC([C@H](CNC(c1c(C(NC(N2C)=O)=O)c2nc(C2CC2)c1)=O)NC(Cc(ccc(Cl)c1)c1F)=O)=O
23992,A066_B008,CC(C)(C)CC(N[C@@H](CNC(C(N1)=CNC1=O)=O)C(NC)=O)=O
46846,A127_B353,CNC([C@H](CNC(CN(C=C(C(N)=O)C(N1)=O)C1=O)=O)NC(c(cc1)cc(NC(CN2)=O)c1C2=O)=O)=O
4784,A013_B357,CNC([C@H](CNC(c1cc(NC(C2CCCC2)=O)ccc1)=O)NC(c(cc1)cc(CC2)c1NC2=O)=O)=O
5850,A016_B316,CNC([C@H](CNC(C1(CC1)C(N)=O)=O)NC(c(cc1)ccc1S(C)(=O)=O)=O)=O
47291,A129_B060,CNC([C@H](CNC(CN(CCCN1)C1=O)=O)NC(Cc(ccc(F)c1)c1Cl)=O)=O
18239,A050_B159,CNC([C@H](CNC(c(cc1)cc(N2)c1N(C)CC2=O)=O)NC(CCc(ccc(Cl)c1)c1Cl)=O)=O
57571,A157_B008,CCC(CC1)Cc2c1c(C(NC(c(cc1)ccc1C(NC[C@@H](C(NC)=O)NC(CC(C)(C)C)=O)=O)=N1)=O)c1s2
27075,A074_B139,CNC([C@H](CNC(COc(cccc1)c1C(N)=O)=O)NC(CCc1ncc(-c2ccccc2)o1)=O)=O
54962,A149_B351,CNC([C@H](CNC(c1nc(C(N)=O)ccc1)=O)NC(CCC(c(cc1)ccc1-c1ccccc1)=O)=O)=O
25550,A070_B090,CCC1N(C(Cc2cccc(F)c2)=O)c(ccc(C(NC[C@@H](C(NC)=O)N)=O)c2)c2NC1=O
6142,A017_B239,CCC1(CC(N[C@@H](CNC(c(cc2)ccc2C(N)=O)=O)C(NC)=O)=O)OCCc2c1[nH]c1c2cccc1CC
27979,A076_B305,Cc1ccc(-c2n[nH]c(C(N[C@@H](CNC(C(NC(NC3=O)=O)=C3OC)=O)C(NC)=O)=O)c2)o1
47114,A128_B252,CNC([C@H](CNC(c(o1)ccc1S(N)(=O)=O)=O)NC(c1cc(-c(cccc2)c2O)n[nH]1)=O)=O
22360,A061_B221,CNC([C@H](CNC(c(cc1C(N2)=O)cnc1N(C1CC1)C2=O)=O)NC(c(cc1)ccc1-n1cncc1)=O)=O
11270,A031_B201,CNC([C@H](CNC(c(cc1)cc(N2)c1N(C1CCCC1)C2=O)=O)NC(c1cc(cc(cc2)F)c2[nH]1)=O)=O
3906,A011_B217,CNC([C@H](CNC(c(cccc1)c1N(CCC(N1)=O)C1=O)=O)NC(Cc1coc2c1ccc(OC)c2)=O)=O
42563,A116_B129,CC(C)CN(c1nc(C2CC2)cc(C(NC[C@@H](C(NC)=O)NC(Cc2cc(OC)cc(OC)c2)=O)=O)c1C(N1)=O)C1=O
51837,A141_B178,CNC([C@H](CNC(CN1N=C(C(N)=O)c(cccc2)c2C1=O)=O)NC(CCc1nc(-c2cnccc2)no1)=O)=O
18567,A051_B118,CC(C1=C(N2)N(C)NC1=O)=C(CC(NC[C@@H](C(NC)=O)NC(Cc1cc(OC)ccc1)=O)=O)C2=O
1786,A005_B311,CNC([C@H](CNC(CCC(C(N1)=O)NC1=O)=O)NC(C1CC=CCC1)=O)=O
32911,A090_B071,CC(C(N1CC(NC[C@@H](C(NC)=O)NC(Cc(c(C(F)(F)F)ccc2)c2F)=O)=O)=O)(c2ccc(C)cc2)NC1=O
49317,A134_B241,CC(C(NC[C@@H](C(NC)=O)NC(C(CC(C1O)O)=CC1O)=O)=O)SC(N1)=NC(C)=CC1=O
47230,A128_B368,CNC([C@H](CNC(c(o1)ccc1S(N)(=O)=O)=O)NC(CCc1cc(Cl)cc(Cl)c1)=O)=O
17527,A048_B185,CNC([C@H](CNC(c(cc1)ncc1C(N)=O)=O)NC(CCc1ccc(-c2cccs2)o1)=O)=O
39032,A106_B288,CCN(C(c(ccc(C(NC[C@@H](C(NC)=O)NC(c1cc(C)cc(C)c1)=O)=O)c1)c1N1)=O)C1=O
